Periodo,Caso,Ropa buen estado (kg),Ropa mal estado (kg),Género utilizado (kg),Prendas producidas,Demanda satisfecha,Demanda insatisfecha
1,Base,10.00,88.89,88.89,247.22,247.22,162.78
1,Falla,10.00,79.50,79.50,223.76,223.76,186.24
2,Base,5.00,66.67,66.67,179.17,179.17,220.83
2,Falla,5.00,79.50,79.50,211.26,211.26,188.74
3,Base,20.00,88.89,88.89,272.22,272.22,147.78
3,Falla,20.00,99.38,99.38,298.45,298.45,121.55
4,Base,15.00,44.44,44.44,148.61,148.61,256.39
4,Falla,15.00,36.61,36.61,129.04,129.04,275.96
5,Base,40.00,44.44,44.44,211.11,211.11,203.89
5,Falla,40.00,39.75,39.75,199.38,199.38,215.62
Total,Base,90.00,333.33,333.33,1058.33,1058.33,991.67
Total,Falla,90.00,334.75,334.75,1061.88,1061.88,988.12
